Unnamed: 0,矫档,老矫,fire,乞闭扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 惑措嚼档(%),弥措 浅加(m/s),乞闭 浅加(m/s),弥历扁柯(∑C),老 弥缴利汲(cm),角瓤嚼档,斥档,稠_厚啦,圭_厚啦,档矫_魂覆_牢立瘤荐
0,版合,2016-01-03,1,4.3769230769230765,16.3,0.0,72.41538461538461,6.5,1.1846153846153846,-6.6,0.0,59.20149936923077,2016,14.049405016416614,19.06974567432407,10.158779894100784
1,版合,2016-01-04,0,5.1923076923076925,12.9,0.0,50.80769230769231,8.3,2.715384615384615,-6.2,0.0,55.19880786923076,2016,14.049405016416614,19.06974567432407,10.158779894100784
2,版合,2016-01-05,0,0.4230769230769231,7.0,0.0,33.07692307692308,8.1,2.646153846153846,-7.0,0.0,46.44374593846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
3,版合,2016-01-06,1,0.0846153846153846,7.0,0.0,46.51538461538462,9.6,2.976923076923077,-9.8,0.0,43.97777568461538,2016,14.049405016416614,19.06974567432407,10.158779894100784
4,版合,2016-01-07,0,-0.0307692307692307,6.4,0.0,44.19230769230769,8.1,3.0923076923076924,-9.2,0.0,41.731961423076925,2016,14.049405016416614,19.06974567432407,10.158779894100784
5,版合,2016-01-08,1,-1.0846153846153843,5.9,0.0,43.68461538461538,9.9,3.223076923076923,-10.3,0.0,39.93808033846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
6,版合,2016-01-09,1,-0.2153846153846153,7.3,0.0,51.107692307692304,7.8,2.276923076923077,-12.0,0.0,40.73308465384616,2016,14.049405016416614,19.06974567432407,10.158779894100784
7,版合,2016-01-10,0,1.3692307692307693,8.1,0.0,50.76923076923077,8.3,2.3692307692307693,-6.9,0.0,41.95068623076923,2016,14.049405016416614,19.06974567432407,10.158779894100784
8,版合,2016-01-11,0,-1.1999999999999995,7.0,0.0,36.48461538461539,7.9,2.3076923076923075,-11.7,0.0,39.14342490000001,2016,14.049405016416614,19.06974567432407,10.158779894100784
9,版合,2016-01-12,0,-2.630769230769231,7.1,0.0,38.01538461538461,8.3,2.4153846153846152,-15.2,0.0,37.16326626923077,2016,14.049405016416614,19.06974567432407,10.158779894100784
10,版合,2016-01-13,0,-1.482051282051282,3.9,0.0846153846153846,54.669230769230765,9.9,2.9923076923076923,-11.8,0.0,40.85530137692308,2016,14.049405016416614,19.06974567432407,10.158779894100784
11,版合,2016-01-14,0,-1.853846153846154,4.7,0.0,46.94615384615384,8.8,2.476923076923077,-9.0,0.0,41.14072172307693,2016,14.049405016416614,19.06974567432407,10.158779894100784
12,版合,2016-01-15,0,-1.776923076923077,7.8,0.0153846153846153,63.42307692307692,6.3,1.0846153846153843,-11.3,0.0,46.02159761538462,2016,14.049405016416614,19.06974567432407,10.158779894100784
13,版合,2016-01-16,0,-0.9000000000000001,9.3,0.0,63.85384615384616,5.2,1.0461538461538462,-12.6,0.0,49.57938740769232,2016,14.049405016416614,19.06974567432407,10.158779894100784
14,版合,2016-01-17,1,0.7307692307692307,7.4,2.976923076923077,82.13846153846154,3.4,0.7769230769230769,-7.1,0.0,58.05939609230769,2016,14.049405016416614,19.06974567432407,10.158779894100784
15,版合,2016-01-18,0,-1.9,5.6,0.3615384615384615,61.00769230769231,13.0,4.523076923076923,-10.7,0.0,57.60214336153847,2016,14.049405016416614,19.06974567432407,10.158779894100784
16,版合,2016-01-19,0,-8.323076923076924,-3.4,0.023076923076923,41.26153846153846,14.3,6.146153846153847,-13.9,0.0,50.7704277923077,2016,14.049405016416614,19.06974567432407,10.158779894100784
17,版合,2016-01-20,0,-7.9,-0.6,0.0,47.392307692307696,9.8,2.9692307692307693,-17.6,0.0,48.10004134615384,2016,14.049405016416614,19.06974567432407,10.158779894100784
18,版合,2016-01-21,0,-5.3538461538461535,2.4,0.0,42.63076923076923,7.8,2.353846153846154,-15.4,0.0,44.22076123846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
19,版合,2016-01-22,0,-4.2384615384615385,4.0,0.0,35.86153846153846,8.1,2.746153846153846,-17.4,0.0,39.45929206153846,2016,14.049405016416614,19.06974567432407,10.158779894100784
20,版合,2016-01-23,0,-7.0,-0.9,0.0,29.423076923076923,9.2,3.8461538461538463,-15.4,0.0,33.549375161538464,2016,14.049405016416614,19.06974567432407,10.158779894100784
21,版合,2016-01-24,0,-11.707692307692309,-5.7,0.0153846153846153,41.29230769230769,10.6,4.007692307692308,-19.3,0.0,33.71900672307692,2016,14.049405016416614,19.06974567432407,10.158779894100784
22,版合,2016-01-25,0,-6.907692307692307,1.1,0.0,47.27692307692308,8.8,3.523076923076923,-18.6,0.0,36.33006800769231,2016,14.049405016416614,19.06974567432407,10.158779894100784
23,版合,2016-01-26,0,-2.1794871794871797,4.9,0.0153846153846153,56.60384615384616,10.8,2.9538461538461536,-14.6,0.0,40.73950416923078,2016,14.049405016416614,19.06974567432407,10.158779894100784
24,版合,2016-01-27,0,0.1461538461538462,8.2,0.0,49.49230769230769,9.9,2.269230769230769,-10.8,0.0,41.86070501538462,2016,14.049405016416614,19.06974567432407,10.158779894100784
25,版合,2016-01-28,0,-0.9230769230769232,6.6,2.6846153846153844,64.25384615384615,6.1,0.9230769230769232,-12.3,1.6,47.31292511538462,2016,14.049405016416614,19.06974567432407,10.158779894100784
26,版合,2016-01-29,0,1.5615384615384615,6.5,8.73076923076923,89.48461538461538,10.2,1.5,-2.2,2.7,58.92595352307693,2016,14.049405016416614,19.06974567432407,10.158779894100784
27,版合,2016-01-30,0,2.146153846153846,6.7,0.7153846153846154,87.95384615384616,9.2,1.2076923076923078,-3.8,0.0,66.17692170000001,2016,14.049405016416614,19.06974567432407,10.158779894100784
28,版合,2016-01-31,0,-0.1615384615384615,5.5,0.0,51.16153846153846,8.2,2.723076923076923,-7.2,0.0,60.00368191153847,2016,14.049405016416614,19.06974567432407,10.158779894100784
29,版合,2016-02-01,0,-2.646153846153846,5.5,0.0,38.91538461538461,7.7,2.9692307692307693,-12.9,0.0,51.67937695384615,2016,14.049405016416614,19.06974567432407,10.158779894100784
30,版合,2016-02-02,0,-3.6769230769230767,5.5,0.0,41.83846153846154,7.1,2.2384615384615385,-16.3,0.0,46.98028617692307,2016,14.049405016416614,19.06974567432407,10.158779894100784
31,版合,2016-02-03,0,-2.4307692307692306,6.7,0.0,46.79230769230769,7.6,2.207692307692308,-17.1,0.0,44.65607240769232,2016,14.049405016416614,19.06974567432407,10.158779894100784
32,版合,2016-02-04,1,0.3999999999999999,6.7,0.0,45.715384615384615,9.6,2.923076923076923,-12.5,0.0,41.81553341538461,2016,14.049405016416614,19.06974567432407,10.158779894100784
33,版合,2016-02-05,0,-0.2999999999999999,7.9,0.0,35.161538461538456,8.4,3.069230769230769,-12.5,0.0,36.71503031538462,2016,14.049405016416614,19.06974567432407,10.158779894100784
34,版合,2016-02-06,0,-1.2923076923076924,5.8,0.2,41.05384615384616,7.0,2.623076923076923,-11.8,0.1,36.21094391538462,2016,14.049405016416614,19.06974567432407,10.158779894100784
35,版合,2016-02-07,1,-2.1538461538461537,7.7,0.0,43.07692307692308,6.8,1.7000000000000002,-13.7,0.0,36.89723083846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
36,版合,2016-02-08,1,0.4769230769230769,8.9,0.0,44.823076923076925,8.1,2.1153846153846154,-15.0,0.0,37.79830871538461,2016,14.049405016416614,19.06974567432407,10.158779894100784
37,版合,2016-02-09,1,2.3846153846153846,8.6,0.0,35.27692307692308,10.2,4.030769230769231,-7.5,0.0,35.39037256153846,2016,14.049405016416614,19.06974567432407,10.158779894100784
38,版合,2016-02-09,1,2.3846153846153846,8.6,0.0,35.27692307692308,10.2,4.030769230769231,-7.5,0.0,35.39037256153846,2016,14.049405016416614,19.06974567432407,10.158779894100784
39,版合,2016-02-10,1,1.0384615384615383,12.3,0.0,49.51538461538462,5.5,1.2923076923076924,-11.7,0.0,38.014365392307695,2016,14.049405016416614,19.06974567432407,10.158779894100784
40,版合,2016-02-11,0,3.899145299145299,15.1,0.0,54.99230769230769,5.3,1.2076923076923076,-9.5,0.0,41.86673213076924,2016,14.049405016416614,19.06974567432407,10.158779894100784
41,版合,2016-02-12,0,7.723076923076923,14.3,12.6,90.6846153846154,5.9,1.123076923076923,0.4,0.0,55.063113923076926,2016,14.049405016416614,19.06974567432407,10.158779894100784
42,版合,2016-02-13,0,11.653846153846152,19.3,7.084615384615384,93.43846153846154,7.0,0.953846153846154,4.8,0.0,65.05533113076923,2016,14.049405016416614,19.06974567432407,10.158779894100784
43,版合,2016-02-14,0,2.1307692307692307,17.1,0.3692307692307693,65.41538461538461,10.2,4.538461538461538,-5.0,0.0,63.58133012307693,2016,14.049405016416614,19.06974567432407,10.158779894100784
44,版合,2016-02-15,0,-3.5846153846153848,1.8,0.023076923076923,43.715384615384615,9.4,4.130769230769231,-8.7,0.0,56.37645805384616,2016,14.049405016416614,19.06974567432407,10.158779894100784
45,版合,2016-02-16,0,-0.7923076923076924,5.2,0.3230769230769231,58.392307692307696,8.7,3.246153846153846,-9.7,0.0,55.2335823,2016,14.049405016416614,19.06974567432407,10.158779894100784
46,版合,2016-02-17,0,0.8615384615384615,7.9,0.0,43.5923076923077,9.9,2.9153846153846152,-12.3,0.0,49.80026291538461,2016,14.049405016416614,19.06974567432407,10.158779894100784
47,版合,2016-02-18,0,2.3,10.9,0.0,54.607692307692304,6.4,1.7692307692307692,-7.8,0.0,48.04180543846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
48,版合,2016-02-19,0,3.923076923076923,13.0,0.0,49.37692307692308,8.5,1.8846153846153848,-6.1,0.0,45.14445826153846,2016,14.049405016416614,19.06974567432407,10.158779894100784
49,版合,2016-02-20,0,3.553846153846154,11.5,0.0,47.15384615384615,9.8,2.576923076923077,-3.3,0.0,43.43845825384616,2016,14.049405016416614,19.06974567432407,10.158779894100784
50,版合,2016-02-21,0,0.5,7.7,0.0,32.65384615384615,8.8,2.930769230769231,-8.8,0.0,38.66015323846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
51,版合,2016-02-22,0,2.569230769230769,9.3,0.0,37.23076923076923,5.9,1.2846153846153845,-4.8,0.0,36.17039905384616,2016,14.049405016416614,19.06974567432407,10.158779894100784
52,版合,2016-02-23,1,3.4538461538461536,11.2,0.0153846153846153,39.36153846153846,8.5,2.984615384615384,-4.6,0.0,35.589163453846155,2016,14.049405016416614,19.06974567432407,10.158779894100784
53,版合,2016-02-24,0,-0.8923076923076922,5.6,0.2538461538461538,48.70769230769231,7.7,2.484615384615384,-7.8,0.0,37.597359992307695,2016,14.049405016416614,19.06974567432407,10.158779894100784
54,版合,2016-02-25,0,-0.0615384615384615,7.1,0.0,42.80769230769231,9.1,2.815384615384616,-11.1,0.0,37.417716,2016,14.049405016416614,19.06974567432407,10.158779894100784
55,版合,2016-02-26,0,2.253846153846154,8.9,0.9307692307692308,67.68461538461538,7.0,1.9769230769230768,-6.0,1.2,44.83350496153847,2016,14.049405016416614,19.06974567432407,10.158779894100784
56,版合,2016-02-27,0,4.053846153846154,12.9,1.3461538461538465,67.47692307692307,8.4,1.6307692307692307,-3.0,0.0,50.4740226923077,2016,14.049405016416614,19.06974567432407,10.158779894100784
57,版合,2016-02-28,0,4.115384615384615,16.8,5.215384615384616,70.76923076923077,10.5,2.0846153846153848,-2.7,0.0,55.24853628461539,2016,14.049405016416614,19.06974567432407,10.158779894100784
58,版合,2016-02-29,1,-2.076923076923077,4.4,0.1538461538461538,51.03076923076923,9.5,4.092307692307693,-8.2,0.0,52.59395247692308,2016,14.049405016416614,19.06974567432407,10.158779894100784
59,版合,2016-03-01,0,-1.7846153846153845,6.6,0.0,44.44615384615384,8.3,2.976923076923077,-11.6,0.0,48.43048950000001,2016,14.049405016416614,19.06974567432407,10.158779894100784
60,版合,2016-03-02,0,2.661538461538462,13.8,0.0,50.34615384615385,7.9,1.9769230769230768,-9.1,0.0,47.49430414615384,2016,14.049405016416614,19.06974567432407,10.158779894100784
61,版合,2016-03-03,1,5.638461538461538,18.7,0.0,55.66923076923077,6.2,1.4384615384615385,-6.6,0.0,47.55787393846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
62,版合,2016-03-04,0,6.715384615384616,15.0,7.023076923076923,82.36923076923077,6.1,1.176923076923077,-3.6,0.0,55.61970323076923,2016,14.049405016416614,19.06974567432407,10.158779894100784
63,版合,2016-03-05,0,10.492307692307692,17.7,29.54615384615385,91.53076923076924,8.2,1.492307692307692,5.8,0.0,63.89524426153847,2016,14.049405016416614,19.06974567432407,10.158779894100784
64,版合,2016-03-06,0,11.569230769230767,19.2,4.792307692307692,71.6,10.0,2.0846153846153848,0.7,0.0,64.4055552923077,2016,14.049405016416614,19.06974567432407,10.158779894100784
65,版合,2016-03-07,0,8.584615384615384,17.8,0.0,65.25384615384615,6.9,1.4769230769230768,-1.4,0.0,63.091328884615386,2016,14.049405016416614,19.06974567432407,10.158779894100784
66,版合,2016-03-08,0,6.892307692307692,11.3,0.0153846153846153,36.39230769230769,7.4,2.576923076923077,-1.1,0.0,53.30467013076923,2016,14.049405016416614,19.06974567432407,10.158779894100784
67,版合,2016-03-09,0,4.423076923076923,12.3,0.0,47.03846153846154,9.5,2.9384615384615387,-1.1,0.0,49.45997875384615,2016,14.049405016416614,19.06974567432407,10.158779894100784
68,版合,2016-03-10,0,1.6076923076923075,8.4,0.0,39.56153846153846,8.2,3.0846153846153848,-5.1,0.0,43.58324937692308,2016,14.049405016416614,19.06974567432407,10.158779894100784
69,版合,2016-03-11,0,0.3461538461538461,7.8,0.0,40.97692307692308,7.1,2.515384615384616,-8.8,0.0,39.57080044615385,2016,14.049405016416614,19.06974567432407,10.158779894100784
70,版合,2016-03-12,0,1.876923076923077,10.1,0.0,45.83076923076923,7.5,1.8461538461538465,-9.6,0.0,38.92169056153846,2016,14.049405016416614,19.06974567432407,10.158779894100784
71,版合,2016-03-13,0,3.523076923076923,10.6,0.0,54.12307692307692,5.3,1.2153846153846155,-3.9,0.0,41.178991546153846,2016,14.049405016416614,19.06974567432407,10.158779894100784
72,版合,2016-03-14,1,3.376923076923077,13.6,0.0,61.06153846153846,9.9,2.1,-6.4,0.0,45.85930003846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
73,版合,2016-03-15,1,5.753846153846154,15.7,0.0,47.5,7.0,1.815384615384616,-7.4,0.0,44.691301638461546,2016,14.049405016416614,19.06974567432407,10.158779894100784
74,版合,2016-03-16,1,9.153846153846152,19.5,0.0,33.676923076923075,7.8,1.9538461538461536,-1.2,0.0,39.99067543846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
75,版合,2016-03-17,1,10.684615384615386,21.7,0.0,34.51538461538461,6.9,1.669230769230769,-4.8,0.0,36.901819984615386,2016,14.049405016416614,19.06974567432407,10.158779894100784
76,版合,2016-03-17,1,10.684615384615386,21.7,0.0,34.51538461538461,6.9,1.669230769230769,-4.8,0.0,36.901819984615386,2016,14.049405016416614,19.06974567432407,10.158779894100784
77,版合,2016-03-17,1,10.684615384615386,21.7,0.0,34.51538461538461,6.9,1.669230769230769,-4.8,0.0,36.901819984615386,2016,14.049405016416614,19.06974567432407,10.158779894100784
78,版合,2016-03-17,1,10.684615384615386,21.7,0.0,34.51538461538461,6.9,1.669230769230769,-4.8,0.0,36.901819984615386,2016,14.049405016416614,19.06974567432407,10.158779894100784
79,版合,2016-03-18,0,9.938461538461535,15.1,8.146153846153847,85.14615384615385,5.2,0.953846153846154,3.8,0.0,49.7575368923077,2016,14.049405016416614,19.06974567432407,10.158779894100784
80,版合,2016-03-19,0,10.092307692307692,19.2,0.0,71.77692307692308,8.1,2.107692307692308,1.7,0.0,54.45309498461539,2016,14.049405016416614,19.06974567432407,10.158779894100784
81,版合,2016-03-20,0,7.138461538461538,14.9,0.0,68.88461538461539,5.7,1.7461538461538462,-1.0,0.0,56.62740242307693,2016,14.049405016416614,19.06974567432407,10.158779894100784
82,版合,2016-03-21,0,7.915384615384616,18.2,0.0,60.44615384615384,6.5,1.6153846153846154,-3.7,0.0,56.09652960000001,2016,14.049405016416614,19.06974567432407,10.158779894100784
83,版合,2016-03-22,0,10.515384615384615,21.1,0.0,44.73846153846154,8.3,2.6384615384615384,-3.2,0.0,51.50049228461538,2016,14.049405016416614,19.06974567432407,10.158779894100784
84,版合,2016-03-23,0,8.346153846153847,16.1,0.2615384615384615,53.91538461538461,7.6,2.523076923076923,1.7,0.0,51.00674983846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
85,版合,2016-03-24,0,6.038461538461538,13.6,0.5692307692307692,57.29230769230769,8.6,2.2384615384615385,-2.5,0.0,49.88720923846154,2016,14.049405016416614,19.06974567432407,10.158779894100784
86,版合,2016-03-25,1,5.307692307692308,11.9,0.3615384615384615,67.68461538461538,5.6,1.4384615384615385,-1.4,0.0,52.69308611538462,2016,14.049405016416614,19.06974567432407,10.158779894100784
87,版合,2016-03-26,0,5.723076923076923,13.9,0.123076923076923,65.8,7.3,1.553846153846154,-2.2,0.0,54.19389844615385,2016,14.049405016416614,19.06974567432407,10.158779894100784
88,版合,2016-03-27,1,7.153846153846154,16.2,0.0,48.34615384615385,8.0,2.423076923076923,-4.5,0.0,50.30614620000001,2016,14.049405016416614,19.06974567432407,10.158779894100784
89,版合,2016-03-27,1,7.153846153846154,16.2,0.0,48.34615384615385,8.0,2.423076923076923,-4.5,0.0,50.30614620000001,2016,14.049405016416614,19.06974567432407,10.158779894100784
90,版合,2016-03-28,1,9.223076923076924,19.4,0.0,33.48461538461539,7.2,2.0307692307692307,-4.0,0.0,43.68065637692308,2016,14.049405016416614,19.06974567432407,10.158779894100784
91,版合,2016-03-29,0,11.807692307692308,20.7,0.0,41.94615384615384,8.0,2.161538461538462,-1.0,0.0,41.2573782923077,2016,14.049405016416614,19.06974567432407,10.158779894100784
92,版合,2016-03-30,1,13.215384615384616,22.7,0.0,43.08461538461539,8.0,2.2,1.9,0.0,39.78343460769231,2016,14.049405016416614,19.06974567432407,10.158779894100784
93,版合,2016-03-30,1,13.215384615384616,22.7,0.0,43.08461538461539,8.0,2.2,1.9,0.0,39.78343460769231,2016,14.049405016416614,19.06974567432407,10.158779894100784
94,版合,2016-03-30,1,13.215384615384616,22.7,0.0,43.08461538461539,8.0,2.2,1.9,0.0,39.78343460769231,2016,14.049405016416614,19.06974567432407,10.158779894100784
95,版合,2016-03-31,0,11.461538461538462,22.4,0.0,39.37692307692308,5.5,1.3461538461538465,-2.8,0.0,37.27257295384615,2016,14.049405016416614,19.06974567432407,10.158779894100784
96,版合,2016-04-01,0,12.453846153846154,26.1,0.0,47.83846153846154,7.0,1.830769230769231,-2.3,0.0,38.119948269230775,2016,14.049405016416614,19.06974567432407,10.158779894100784
97,版合,2016-04-02,1,14.215384615384616,25.5,0.0,52.02307692307692,7.8,1.7846153846153845,-0.2,0.0,40.58452386923078,2016,14.049405016416614,19.06974567432407,10.158779894100784
98,版合,2016-04-03,0,11.16153846153846,17.9,12.153846153846152,76.27692307692308,8.3,1.7307692307692308,5.1,0.0,50.110414176923086,2016,14.049405016416614,19.06974567432407,10.158779894100784
99,版合,2016-04-04,0,9.776923076923076,15.4,3.261538461538461,84.04615384615384,6.5,1.5769230769230769,4.7,0.0,58.81065916153846,2016,14.049405016416614,19.06974567432407,10.158779894100784
100,版合,2016-04-05,1,12.192307692307692,21.5,0.0,51.715384615384615,7.3,2.1923076923076925,2.1,0.0,55.16141822307692,2016,14.049405016416614,19.06974567432407,10.158779894100784
101,版合,2016-04-06,0,12.815384615384614,24.0,8.03076923076923,52.17692307692308,6.4,1.7461538461538462,-0.3,0.0,52.87627299230769,2016,14.049405016416614,19.06974567432407,10.158779894100784
102,版合,2016-04-07,0,12.215384615384616,19.2,31.22307692307692,82.73846153846154,7.4,1.946153846153846,6.9,0.0,60.14648540769231,2016,14.049405016416614,19.06974567432407,10.158779894100784
103,版合,2016-04-08,0,15.776923076923076,24.9,0.0,49.215384615384615,8.2,2.5923076923076924,3.7,0.0,55.03101627692308,2016,14.049405016416614,19.06974567432407,10.158779894100784
104,版合,2016-04-09,0,16.56153846153846,25.9,0.0,49.76923076923077,7.2,2.215384615384615,3.3,0.0,50.76030950769231,2016,14.049405016416614,19.06974567432407,10.158779894100784
105,版合,2016-04-10,0,12.9,26.2,1.4538461538461538,65.6923076923077,10.3,2.6,5.3,0.0,52.27352517692308,2016,14.049405016416614,19.06974567432407,10.158779894100784
106,版合,2016-04-11,0,8.97948717948718,16.5,0.2461538461538461,63.150000000000006,8.3,2.4538461538461536,1.2,0.0,53.71118863846155,2016,14.049405016416614,19.06974567432407,10.158779894100784
107,版合,2016-04-12,0,10.938461538461535,21.1,0.0923076923076923,57.53076923076923,6.0,1.6153846153846154,-0.8,0.0,53.01549396923077,2016,14.049405016416614,19.06974567432407,10.158779894100784
108,版合,2016-04-13,0,12.63076923076923,17.0,13.392307692307693,93.96923076923076,4.8,1.0230769230769232,6.2,0.0,62.38138583076924,2016,14.049405016416614,19.06974567432407,10.158779894100784
109,版合,2016-04-14,0,15.746153846153844,24.9,0.0,62.315384615384616,8.1,2.5,5.8,0.0,60.62454323076924,2016,14.049405016416614,19.06974567432407,10.158779894100784
110,版合,2016-04-15,0,13.184615384615386,23.3,0.0,59.89999999999999,9.8,2.0307692307692307,1.9,0.0,58.650590192307696,2016,14.049405016416614,19.06974567432407,10.158779894100784
111,版合,2016-04-16,0,14.053846153846154,23.8,11.369230769230768,71.03846153846153,9.1,2.1846153846153844,3.5,0.0,60.04836130384616,2016,14.049405016416614,19.06974567432407,10.158779894100784
112,版合,2016-04-17,0,13.96923076923077,19.9,9.238461538461538,49.84615384615385,15.5,5.607692307692308,7.7,0.0,54.75883876153846,2016,14.049405016416614,19.06974567432407,10.158779894100784
113,版合,2016-04-18,0,13.823076923076922,22.1,0.7230769230769231,39.67692307692308,9.9,3.3076923076923075,3.8,0.0,48.20373281538461,2016,14.049405016416614,19.06974567432407,10.158779894100784
114,版合,2016-04-19,0,12.284615384615384,21.0,0.0,51.88461538461539,8.1,2.392307692307692,4.4,0.0,45.99138177692308,2016,14.049405016416614,19.06974567432407,10.158779894100784
115,版合,2016-04-20,0,13.26923076923077,23.1,0.0692307692307692,56.83076923076923,6.9,1.5,2.1,0.0,47.04379520769231,2016,14.049405016416614,19.06974567432407,10.158779894100784
116,版合,2016-04-21,0,13.084615384615384,18.4,33.80769230769231,88.86923076923077,5.4,1.5,8.3,0.0,57.47727334615384,2016,14.049405016416614,19.06974567432407,10.158779894100784
117,版合,2016-04-22,0,18.361538461538466,27.8,0.0,60.92307692307692,7.1,2.3461538461538463,8.1,0.0,56.00373323076924,2016,14.049405016416614,19.06974567432407,10.158779894100784
118,版合,2016-04-23,0,16.115384615384617,23.2,0.0,39.19230769230769,8.1,1.815384615384616,7.0,0.0,49.20100052307692,2016,14.049405016416614,19.06974567432407,10.158779894100784
119,版合,2016-04-24,0,13.515384615384615,24.7,0.0,43.73846153846154,9.1,1.8384615384615384,1.2,0.0,46.16185373076924,2016,14.049405016416614,19.06974567432407,10.158779894100784
120,版合,2016-04-25,1,15.23076923076923,28.4,0.0,49.93076923076923,5.4,1.4384615384615385,0.1,0.0,45.461276446153846,2016,14.049405016416614,19.06974567432407,10.158779894100784
121,版合,2016-04-26,0,16.292307692307695,29.5,0.0,55.94615384615384,9.4,2.353846153846154,4.7,0.0,46.60091471538461,2016,14.049405016416614,19.06974567432407,10.158779894100784
122,版合,2016-04-27,0,10.46923076923077,16.2,26.35384615384616,85.3076923076923,11.3,2.753846153846154,7.9,0.0,55.07633515384616,2016,14.049405016416614,19.06974567432407,10.158779894100784
123,版合,2016-04-28,0,12.715384615384616,21.4,2.2153846153846155,71.63846153846154,9.5,2.169230769230769,5.8,0.0,57.894711346153855,2016,14.049405016416614,19.06974567432407,10.158779894100784
124,版合,2016-04-29,0,14.13076923076923,24.0,0.3461538461538461,58.53846153846154,6.4,1.7538461538461538,2.2,0.0,56.704555661538464,2016,14.049405016416614,19.06974567432407,10.158779894100784
125,版合,2016-04-30,0,17.015384615384615,26.9,0.0,53.07692307692308,8.1,2.338461538461538,4.1,0.0,54.07253000769232,2016,14.049405016416614,19.06974567432407,10.158779894100784
126,版合,2016-05-01,0,19.26153846153846,30.2,0.0,48.0923076923077,7.2,1.9692307692307691,6.5,0.0,50.516171792307695,2016,14.049405016416614,19.06974567432407,10.158779894100784
127,版合,2016-05-02,0,19.16923076923077,28.6,0.7461538461538463,60.5923076923077,8.2,2.1153846153846154,5.0,0.0,51.56440984615384,2016,14.049405016416614,19.06974567432407,10.158779894100784
128,版合,2016-05-03,0,15.684615384615386,23.3,13.715384615384616,75.3076923076923,11.6,3.869230769230769,8.0,0.0,55.67648517692308,2016,14.049405016416614,19.06974567432407,10.158779894100784
129,版合,2016-05-04,0,18.03076923076923,25.3,0.0923076923076923,28.707692307692305,12.6,6.276923076923077,8.2,0.0,45.05738930769231,2016,14.049405016416614,19.06974567432407,10.158779894100784
130,版合,2016-05-05,0,19.015384615384612,28.8,0.0307692307692307,35.27692307692308,10.3,2.323076923076923,4.8,0.0,40.057152,2016,14.049405016416614,19.06974567432407,10.158779894100784
131,版合,2016-05-06,0,19.56923076923077,27.1,0.0538461538461538,66.70769230769231,8.6,2.292307692307692,12.5,0.0,46.17898001538462,2016,14.049405016416614,19.06974567432407,10.158779894100784
132,版合,2016-05-07,1,17.915384615384614,26.3,0.0,44.80769230769231,8.4,3.123076923076923,9.2,0.0,44.070190130769234,2016,14.049405016416614,19.06974567432407,10.158779894100784
133,版合,2016-05-08,0,17.03076923076923,27.4,0.0,52.24615384615385,6.0,1.7000000000000002,5.0,0.0,44.38439192307692,2016,14.049405016416614,19.06974567432407,10.158779894100784
134,版合,2016-05-09,0,18.346153846153847,26.0,0.0,54.15384615384615,4.5,1.0923076923076922,9.2,0.0,44.65726578461538,2016,14.049405016416614,19.06974567432407,10.158779894100784
135,版合,2016-05-10,0,13.569230769230767,20.3,19.06153846153846,87.08461538461538,9.8,1.7538461538461538,10.5,0.0,56.37224127692309,2016,14.049405016416614,19.06974567432407,10.158779894100784
136,版合,2016-05-11,0,15.646153846153847,24.6,3.1769230769230767,73.1923076923077,8.2,1.6846153846153844,9.6,0.0,60.17317278461538,2016,14.049405016416614,19.06974567432407,10.158779894100784
137,版合,2016-05-12,0,18.37692307692308,28.5,0.0,62.44615384615384,6.3,1.8692307692307693,8.0,0.0,58.50063911538462,2016,14.049405016416614,19.06974567432407,10.158779894100784
138,版合,2016-05-13,0,15.76923076923077,24.1,0.0076923076923076,65.76923076923077,10.0,2.161538461538462,6.2,0.0,59.09974255384616,2016,14.049405016416614,19.06974567432407,10.158779894100784
139,版合,2016-05-14,0,15.330769230769231,26.4,0.0,62.27692307692308,6.4,1.9384615384615385,3.5,0.0,58.20888438461539,2016,14.049405016416614,19.06974567432407,10.158779894100784
140,版合,2016-05-15,0,18.815384615384616,27.3,1.1846153846153844,67.25384615384615,9.4,2.323076923076923,6.5,0.0,59.01102916153846,2016,14.049405016416614,19.06974567432407,10.158779894100784
141,版合,2016-05-16,0,14.976923076923075,24.3,7.823076923076924,56.4076923076923,9.6,3.376923076923077,6.0,0.0,55.15640273076924,2016,14.049405016416614,19.06974567432407,10.158779894100784
142,版合,2016-05-17,0,17.523076923076925,29.7,0.0,48.7,5.8,1.6076923076923075,2.8,0.0,50.63618136923076,2016,14.049405016416614,19.06974567432407,10.158779894100784
143,版合,2016-05-18,0,20.107692307692307,32.2,0.0,49.52307692307692,5.6,1.515384615384615,6.4,0.0,48.09823176923077,2016,14.049405016416614,19.06974567432407,10.158779894100784
